carat,cut,cut_rank,color,color_rank,clarity,clarity_rank,depth_pct,table_mm,price_usd,length_mm,width_mm,depth_mm,region
0.76,Premium,2,E,2,SI2,7,62.4,58.0,2206.0,5.83,5.86,3.65,region4
0.8,Good,4,E,2,VS2,5,63.4,56.0,2946.0,5.88,5.92,3.74,region4
0.51,Premium,2,D,1,VS2,5,62.7,59.0,2078.0,5.09,5.05,3.18,region2
0.23,Very Good,3,E,2,VVS2,3,64.1,58.0,530.0,3.85,3.89,2.48,region3
0.41,Premium,2,G,4,SI1,6,62.5,58.0,831.0,4.78,4.75,2.98,region4
0.26,Ideal,1,E,2,VVS2,3,62.3,57.0,1000.0,4.09,4.06,2.54,region1
0.56,Ideal,1,D,1,VS1,4,61.1,56.0,3152.0,5.3,5.33,3.25,region2
0.59,Ideal,1,I,6,SI2,7,62.8,57.0,1382.0,5.33,5.37,3.36,region2
1.15,Ideal,1,H,5,SI2,7,60.5,56.0,3884.0,6.83,6.8,4.13,region4
2.5,Ideal,1,J,7,SI2,7,63.8,53.0,13721.0,8.56,8.5,5.45,region4
2.34,Ideal,1,H,5,I1,8,62.4,55.0,12904.0,8.51,8.44,5.29,region2
0.32,Premium,2,E,2,VS2,5,60.5,58.0,1170.0,4.48,4.44,2.7,region1
0.73,Very Good,3,E,2,VS2,5,62.9,58.0,3662.0,5.7,5.75,3.6,region2
1.05,Very Good,3,H,5,SI1,6,63.2,56.0,5278.0,6.51,6.47,4.1,region3
0.71,Ideal,1,E,2,VS2,5,61.1,56.0,3008.0,5.77,5.79,3.53,region4
0.3,Ideal,1,H,5,VS1,4,62.3,55.0,605.0,4.29,4.34,2.69,region2
0.91,Fair,5,H,5,SI2,7,64.4,57.0,2487.0,6.11,6.09,3.93,region4
0.72,Ideal,1,G,4,VS1,4,60.4,57.0,4521.0,5.81,5.84,3.52,region1
0.9,Premium,2,D,1,VS1,4,61.2,58.0,8373.0,6.27,6.25,3.83,region1
1.0,Fair,5,H,5,SI2,7,66.1,59.0,3646.0,6.18,6.13,4.07,region3
0.73,Ideal,1,E,2,VS2,5,62.4,57.0,2881.0,5.75,5.79,3.6,region4
0.31,Very Good,3,F,3,IF,1,61.4,55.0,1051.0,4.39,4.41,2.7,region2
0.94,Premium,2,F,3,SI2,7,62.6,57.0,4449.0,6.27,6.25,3.92,region2
0.92,Ideal,1,J,7,VS1,4,62.4,56.0,3832.0,6.23,6.19,3.88,region2
2.0,Ideal,1,F,3,SI2,7,61.6,57.0,17356.0,8.16,8.1,5.01,region1
0.47,Premium,2,G,4,SI1,6,58.8,58.0,1412.0,5.11,5.06,2.99,region1
1.52,Ideal,1,I,6,VS1,4,61.8,55.0,9766.0,7.38,7.41,4.57,region4
0.72,Very Good,3,D,1,SI2,7,59.8,60.0,2638.0,5.76,5.81,3.46,region2
0.55,Ideal,1,E,2,VS2,5,59.3,57.0,2032.0,5.43,5.39,3.21,region2
0.73,Ideal,1,F,3,SI1,6,61.6,55.0,2656.0,5.77,5.81,3.56,region4
0.33,Ideal,1,J,7,SI1,6,61.1,56.0,363.0,4.49,4.55,2.76,region4
0.32,Good,4,H,5,VVS1,2,64.3,58.0,821.0,4.33,4.28,2.77,region4
1.0,Premium,2,E,2,SI2,7,61.0,59.0,4315.0,6.4,6.33,3.89,region2
0.23,Very Good,3,F,3,VVS2,3,61.9,59.0,556.0,3.94,3.97,2.45,region3
0.23,Ideal,1,D,1,VVS2,3,62.1,57.0,610.0,3.92,3.97,2.45,region2
1.05,Premium,2,G,4,SI2,7,62.6,62.0,5288.0,6.49,6.45,4.05,region2
0.72,Ideal,1,F,3,SI2,7,61.9,54.1,3446.0,5.73,5.83,3.57,region1
0.38,Ideal,1,I,6,VS1,4,61.9,54.7,808.0,4.63,4.68,2.88,region2
0.32,Very Good,3,G,4,VVS2,3,64.0,55.0,546.0,4.31,4.35,2.77,region4
0.72,Ideal,1,E,2,SI1,6,61.2,56.0,3038.0,5.75,5.79,3.53,region2
1.01,Ideal,1,E,2,SI1,6,61.1,55.0,7052.0,6.47,6.52,3.97,region2
1.06,Very Good,3,G,4,IF,1,61.2,57.0,7574.0,6.52,6.56,4.0,region4
0.43,Ideal,1,E,2,SI2,7,61.9,57.0,644.0,4.83,4.86,3.0,region4
0.33,Very Good,3,G,4,VS2,5,60.8,62.0,753.0,4.42,4.46,2.7,region1
1.21,Very Good,3,I,6,VS1,4,59.4,60.0,6158.0,6.9,6.97,4.12,region3
0.53,Ideal,1,D,1,IF,1,62.2,55.0,4003.0,5.17,5.19,3.22,region3
1.3,Good,4,J,7,VS2,5,63.6,59.0,5532.0,6.9,6.87,4.38,region3
0.7,Premium,2,E,2,SI1,6,61.1,60.0,1774.0,5.69,5.56,3.44,region4
0.4,Good,4,F,3,VS1,4,63.1,59.0,1009.0,4.64,4.68,2.94,region2
2.02,Fair,5,J,7,SI2,7,67.5,59.0,11824.0,7.76,7.65,5.2,region1
0.4,Very Good,3,D,1,VS2,5,62.8,58.0,1043.0,4.66,4.71,2.94,region3
0.35,Premium,2,D,1,VS2,5,60.4,58.0,1382.0,4.58,4.53,2.75,region1
0.29,Very Good,3,E,2,VS1,4,61.8,59.0,529.0,4.21,4.27,2.62,region3
0.6,Ideal,1,E,2,VS1,4,59.6,59.0,2456.0,5.52,5.45,3.27,region3
1.2,Good,4,J,7,SI2,7,63.3,54.4,4193.0,6.72,6.78,4.27,region4
0.5,Premium,2,H,5,VS1,4,62.7,59.0,1441.0,5.03,4.98,3.14,region2
0.54,Ideal,1,I,6,VS2,5,61.1,55.0,1322.0,5.27,5.31,3.23,region3
0.82,Good,4,F,3,VS2,5,60.9,62.2,4372.0,5.97,6.04,3.66,region1
0.56,Good,4,E,2,VS2,5,61.4,62.0,1562.0,5.34,5.28,3.26,region4
0.4,Good,4,I,6,VS2,5,64.1,57.0,904.0,4.65,4.61,2.97,region1
1.08,Very Good,3,H,5,SI2,7,63.0,59.0,4705.0,6.51,6.54,4.11,region3
1.12,Ideal,1,G,4,SI2,7,62.4,56.0,4241.0,6.63,6.67,4.15,region4
0.34,Ideal,1,D,1,VS1,4,61.4,57.0,1014.0,4.49,4.54,2.77,region1
0.79,Ideal,1,H,5,VVS2,3,62.0,55.9,3823.0,5.88,5.95,3.67,region2
0.7,Good,4,F,3,SI1,6,58.7,60.0,3132.0,5.75,5.81,3.39,region1
1.5,Premium,2,D,1,I1,8,62.4,60.0,4914.0,7.37,7.19,4.54,region1
0.5,Very Good,3,F,3,VVS1,2,61.1,55.0,2228.0,5.14,5.18,3.15,region3
1.01,Premium,2,E,2,IF,1,62.6,58.0,12066.0,6.44,6.37,4.01,region3
0.45,Ideal,1,G,4,IF,1,61.7,55.0,1780.0,4.93,4.96,3.05,region2
0.3,Ideal,1,F,3,VVS1,2,61.9,56.0,1058.0,4.3,4.33,2.67,region1
0.4,Ideal,1,D,1,VS2,5,60.4,56.0,1208.0,4.77,4.73,2.87,region2
0.35,Fair,5,G,4,VS2,5,65.9,54.0,1627.0,5.57,5.53,3.66,region2
0.38,Premium,2,E,2,VVS1,2,60.6,59.0,1099.0,4.62,4.65,2.81,region3
1.01,Good,4,I,6,SI2,7,61.8,62.0,3909.0,6.28,6.35,3.9,region2
0.92,Very Good,3,D,1,SI2,7,60.2,61.0,2751.0,6.27,6.32,3.79,region4
1.08,Ideal,1,J,7,SI2,7,61.8,57.0,3183.0,6.56,6.58,4.06,region4
1.24,Ideal,1,D,1,VVS2,3,61.5,57.0,13263.0,6.88,6.94,4.25,region4
0.4,Ideal,1,G,4,VVS2,3,62.3,54.0,838.0,4.75,4.78,2.97,region4
0.51,Very Good,3,D,1,VS2,5,63.5,56.0,1614.0,5.1,5.07,3.23,region4
1.01,Premium,2,F,3,SI2,7,62.0,59.0,4276.0,6.49,6.43,4.01,region3
0.28,Ideal,1,D,1,VS2,5,61.2,57.0,560.0,4.2,4.23,2.58,region2
1.03,Ideal,1,F,3,VVS2,3,62.5,56.0,12030.0,6.46,6.53,4.06,region1
0.32,Ideal,1,F,3,VVS2,3,60.7,57.0,961.0,4.42,4.45,2.69,region4
0.33,Good,4,I,6,SI1,6,63.6,53.0,724.0,4.43,4.4,2.81,region1
0.3,Very Good,3,F,3,VS2,5,58.8,60.0,603.0,4.37,4.41,2.58,region2
0.44,Very Good,3,E,2,VS1,4,59.7,59.0,1144.0,4.94,5.01,2.97,region3
1.5,Premium,2,I,6,SI2,7,59.5,62.0,7497.0,7.46,7.39,4.42,region3
0.72,Very Good,3,E,2,SI1,6,60.0,57.0,2851.0,5.8,5.84,3.49,region2
1.12,Very Good,3,G,4,SI2,7,63.3,58.0,5821.0,6.7,6.63,4.22,region1
0.53,Ideal,1,D,1,VS2,5,60.6,57.0,2414.0,5.24,5.28,3.19,region1
0.71,Very Good,3,I,6,SI2,7,60.4,59.0,2604.0,5.76,5.79,3.49,region1
0.3,Ideal,1,D,1,SI2,7,63.0,55.0,517.0,4.26,4.25,2.68,region4
0.7,Ideal,1,F,3,VS1,4,61.6,55.0,3059.0,5.68,5.71,3.51,region4
1.7,Ideal,1,I,6,SI1,6,62.4,56.0,12912.0,7.68,7.64,4.78,region2
1.55,Very Good,3,E,2,SI2,7,59.5,56.0,8601.0,7.56,7.59,4.51,region4
1.32,Ideal,1,I,6,VS2,5,61.7,59.0,6353.0,7.03,7.06,4.35,region4
0.41,Ideal,1,D,1,VS1,4,62.9,57.0,1292.0,4.75,4.73,2.98,region3
0.27,Very Good,3,E,2,VVS1,2,61.3,57.0,887.0,4.15,4.18,2.55,region1
0.58,Very Good,3,G,4,VVS2,3,62.0,57.0,2701.0,5.33,5.34,3.31,region1
0.58,Very Good,3,G,4,SI2,7,59.5,59.0,1077.0,5.41,5.45,3.23,region4
1.37,Premium,2,E,2,SI2,7,61.0,57.0,8776.0,7.25,7.19,4.4,region1
1.2,Premium,2,G,4,VS1,4,63.0,61.0,9385.0,6.62,6.59,4.16,region3
0.31,Ideal,1,H,5,VVS2,3,62.2,57.0,722.0,4.36,4.32,2.7,region4
0.31,Ideal,1,G,4,VVS1,2,61.9,55.0,710.0,4.38,4.41,2.72,region4
0.7,Good,4,F,3,SI1,6,64.3,63.0,2542.0,5.55,5.58,3.58,region1
1.7,Premium,2,I,6,SI1,6,59.8,59.0,8187.0,7.72,7.7,4.61,region3
1.2,Very Good,3,G,4,SI1,6,62.8,60.0,5873.0,6.71,6.79,4.24,region4
0.43,Ideal,1,D,1,VS1,4,62.1,56.0,1569.0,4.85,4.87,3.02,region1
0.58,Good,4,E,2,VS2,5,63.1,56.0,1582.0,5.26,5.33,3.34,region4
1.55,Premium,2,D,1,SI2,7,62.0,58.0,11658.0,7.44,7.39,4.6,region3
0.44,Ideal,1,F,3,SI1,6,61.0,57.0,1196.0,4.91,4.89,2.99,region2
1.01,Premium,2,D,1,SI2,7,58.3,59.0,4205.0,6.67,6.63,3.88,region4
0.71,Ideal,1,G,4,VVS1,2,62.6,56.0,3691.0,5.65,5.69,3.55,region2
1.0,Fair,5,G,4,SI1,6,43.0,59.0,3816.0,6.32,6.27,3.97,region3
0.52,Good,4,H,5,VS2,5,63.7,54.0,1160.0,5.09,5.12,3.25,region4
0.51,Ideal,1,F,3,VVS2,3,61.2,56.0,2313.0,5.19,5.17,3.17,region3
0.62,Ideal,1,E,2,SI1,6,61.5,57.0,1574.0,5.44,5.49,3.36,region4
0.4,Ideal,1,E,2,VS1,4,61.2,57.0,1462.0,4.77,4.74,2.91,region1
0.51,Premium,2,G,4,VS1,4,62.5,58.0,1490.0,5.09,5.11,3.19,region4
0.35,Premium,2,F,3,VS2,5,61.9,58.0,1042.0,4.54,4.48,2.79,region2
2.01,Premium,2,I,6,VS2,5,62.7,58.0,21811.0,7.98,7.94,4.99,region1
1.34,Premium,2,G,4,SI2,7,61.7,58.0,5818.0,7.04,7.1,4.36,region4
0.32,Ideal,1,I,6,VVS2,3,62.0,54.9,737.0,4.36,4.39,2.71,region1
0.43,Very Good,3,E,2,VVS2,3,60.8,57.0,1307.0,4.89,4.92,2.98,region3
0.3,Ideal,1,D,1,SI1,6,61.3,57.0,704.0,4.34,4.37,2.67,region3
0.32,Premium,2,H,5,VS2,5,61.7,59.0,581.0,4.35,4.4,2.7,region2
1.2,Premium,2,G,4,VS2,5,58.2,59.0,7016.0,7.04,6.95,4.07,region4
1.54,Ideal,1,F,3,VS2,5,61.9,57.0,11680.0,7.42,7.35,4.57,region4
0.34,Ideal,1,E,2,VS2,5,62.0,56.0,743.0,4.46,4.48,2.77,region2
0.32,Premium,2,E,2,SI2,7,61.7,60.0,518.0,4.41,4.38,2.71,region4
1.52,Premium,2,J,7,VVS2,3,58.3,62.0,8612.0,7.61,7.49,4.4,region3
1.02,Ideal,1,G,4,VS2,5,62.5,55.0,8343.0,6.43,6.49,4.04,region1
0.58,Ideal,1,F,3,VS1,4,61.9,54.0,2304.0,5.33,5.37,3.31,region1
1.0,Very Good,3,H,5,SI2,7,62.5,58.0,5255.0,6.27,6.36,3.95,region1
1.0,Very Good,3,F,3,VS2,5,62.7,58.0,6635.0,6.38,6.41,4.01,region3
0.35,Premium,2,E,2,SI1,6,62.9,58.0,1024.0,4.52,4.48,2.83,region1
0.43,Ideal,1,D,1,VS1,4,62.1,55.0,1569.0,4.83,4.86,3.01,region1
0.36,Ideal,1,G,4,IF,1,61.9,55.0,1080.0,4.56,4.59,2.83,region3
1.05,Ideal,1,H,5,SI2,7,61.2,57.0,4981.0,6.54,6.59,4.02,region2
1.15,Premium,2,D,1,SI1,6,63.0,57.0,6248.0,6.69,6.64,4.2,region4
1.01,Very Good,3,E,2,SI1,6,62.0,61.0,4694.0,6.38,6.42,3.97,region4
0.98,Fair,5,H,5,SI1,6,68.6,58.0,4120.0,6.18,6.04,4.19,region2
1.2,Premium,2,I,6,VS2,5,62.6,58.0,6554.0,6.77,6.72,4.22,region2
0.55,Very Good,3,F,3,SI1,6,62.9,58.0,1134.0,5.23,5.26,3.3,region4
0.41,Good,4,F,3,SI1,6,63.7,58.0,814.0,4.74,4.71,3.01,region4
0.73,Premium,2,F,3,SI2,7,59.5,62.0,2513.0,5.89,5.84,3.49,region3
1.26,Ideal,1,F,3,VVS1,2,61.1,57.0,17534.0,6.96,6.98,4.26,region2
0.33,Premium,2,G,4,SI1,6,62.3,59.0,663.0,4.44,4.39,2.75,region3
0.7,Very Good,3,I,6,VS2,5,60.8,61.0,2478.0,5.72,5.76,3.49,region3
0.61,Ideal,1,F,3,SI1,6,61.4,56.0,1933.0,5.46,5.42,3.34,region2
0.9,Very Good,3,E,2,SI1,6,60.3,58.0,6397.0,6.26,6.32,3.79,region1
0.7,Ideal,1,D,1,VS2,5,62.4,57.0,3297.0,5.68,5.61,3.52,region2
0.45,Good,4,F,3,VVS1,2,63.8,58.0,1393.0,4.85,4.78,3.07,region4
1.0,Premium,2,F,3,VS2,5,62.1,58.0,5442.0,6.45,6.36,3.96,region4
1.73,Fair,5,H,5,SI2,7,65.9,58.0,5406.0,7.52,7.45,4.93,region4
0.31,Premium,2,G,4,VVS2,3,61.8,58.0,813.0,4.32,4.36,2.68,region2
1.11,Very Good,3,J,7,SI1,6,62.0,58.0,4096.0,6.57,6.62,4.09,region3
0.52,Premium,2,D,1,VS2,5,61.2,58.0,1913.0,5.16,5.2,3.17,region3
0.73,Premium,2,E,2,VS2,5,61.6,59.0,3667.0,5.77,5.73,3.54,region1
1.0,Fair,5,E,2,SI2,7,57.3,62.0,4637.0,6.54,6.59,3.76,region2
0.35,Premium,2,G,4,VS1,4,62.3,59.0,1042.0,4.53,4.49,2.81,region2
0.27,Ideal,1,F,3,VVS2,3,61.2,58.0,867.0,4.15,4.19,2.55,region1
0.36,Ideal,1,I,6,IF,1,61.8,55.0,845.0,4.58,4.61,2.84,region2
0.9,Very Good,3,G,4,SI1,6,62.4,59.0,4536.0,6.1,6.15,3.82,region3
1.06,Ideal,1,D,1,SI2,7,62.3,55.0,6829.0,6.54,6.5,4.06,region1
0.74,Very Good,3,J,7,SI2,7,59.1,58.0,2211.0,5.93,5.99,3.52,region2
0.78,Very Good,3,D,1,SI1,6,62.5,58.0,3421.0,5.86,5.89,3.67,region3
0.52,Ideal,1,D,1,VS2,5,61.7,56.0,2495.0,5.18,5.16,3.19,region1
0.32,Ideal,1,G,4,SI1,6,62.5,55.0,549.0,4.35,4.38,2.73,region2
0.33,Very Good,3,D,1,VVS2,3,59.5,56.0,840.0,4.51,4.56,2.7,region4
0.56,Ideal,1,D,1,VS2,5,61.0,57.0,1859.0,5.35,5.28,3.24,region4
0.3,Ideal,1,E,2,VVS1,2,61.4,56.0,1243.0,4.37,4.33,2.67,region1
0.4,Very Good,3,G,4,IF,1,61.2,57.0,1098.0,4.77,4.79,2.92,region4
0.7,Premium,2,H,5,SI2,7,62.8,59.0,2463.0,5.65,5.62,3.54,region2
0.95,Ideal,1,G,4,VS2,5,61.6,56.0,5231.0,6.34,6.3,3.89,region2
1.43,Very Good,3,H,5,SI1,6,61.7,59.0,9952.0,7.23,7.29,4.48,region2
1.06,Premium,2,I,6,SI1,6,61.9,59.0,4007.0,6.52,6.5,4.03,region4
1.24,Premium,2,J,7,SI1,6,61.8,58.0,5390.0,6.9,6.86,4.25,region2
1.17,Ideal,1,J,7,VS2,5,62.1,56.0,5312.0,6.8,6.75,4.21,region2
1.06,Premium,2,F,3,I1,8,60.3,58.0,3316.0,6.59,6.56,3.96,region3
1.23,Ideal,1,I,6,SI2,7,62.1,56.0,6059.0,6.88,6.84,4.26,region2
0.51,Very Good,3,G,4,SI1,6,63.0,53.0,1403.0,5.1,5.13,3.22,region2
1.21,Very Good,3,F,3,SI1,6,59.4,56.0,8720.0,6.95,7.0,4.14,region1
2.08,Premium,2,H,5,SI2,7,58.8,60.0,16631.0,8.39,8.35,4.92,region2
0.5,Fair,5,E,2,SI1,6,65.3,58.0,1191.0,4.99,4.91,3.23,region3
1.25,Premium,2,I,6,SI2,7,60.5,58.0,5941.0,7.0,6.96,4.22,region2
1.6,Very Good,3,G,4,VS2,5,61.0,57.0,18698.0,7.55,7.59,4.62,region1
1.04,Ideal,1,G,4,VVS1,2,62.8,56.0,6964.0,6.49,6.45,4.06,region4
1.03,Ideal,1,H,5,SI2,7,61.1,57.0,3892.0,6.48,6.52,3.97,region4
0.62,Very Good,3,E,2,VS1,4,60.1,56.0,2791.0,5.56,5.58,3.35,region1
1.28,Premium,2,H,5,SI2,7,60.2,58.0,6398.0,7.13,7.03,4.26,region3
0.28,Very Good,3,G,4,VS2,5,62.0,56.0,384.0,4.16,4.19,2.59,region4
1.19,Ideal,1,D,1,VS2,5,60.4,56.0,10291.0,6.87,6.93,4.17,region1
1.14,Premium,2,F,3,SI2,7,60.8,58.0,5759.0,6.79,6.74,4.11,region2
0.35,Good,4,F,3,SI1,6,63.6,54.0,972.0,4.52,4.51,2.87,region1
0.7,Very Good,3,E,2,SI1,6,63.4,56.0,2666.0,5.7,5.6,3.58,region2
0.51,Very Good,3,E,2,VS2,5,63.5,56.0,1745.0,5.08,5.06,3.22,region3
2.0,Very Good,3,J,7,SI2,7,62.1,63.0,9314.0,7.96,7.85,4.91,region3
0.25,Very Good,3,F,3,VVS2,3,60.4,59.0,748.0,4.09,4.12,2.48,region1
0.33,Very Good,3,E,2,SI1,6,62.7,56.0,521.0,4.39,4.45,2.77,region4
0.41,Premium,2,F,3,SI1,6,59.8,59.0,868.0,4.82,4.85,2.89,region2
0.23,Premium,2,G,4,VVS2,3,58.1,59.0,495.0,4.09,4.03,2.36,region4
1.5,Premium,2,J,7,SI1,6,61.7,59.0,7621.0,7.36,7.32,4.53,region3
1.51,Ideal,1,D,1,VS2,5,60.9,57.0,18142.0,7.42,7.45,4.53,region2
0.32,Ideal,1,F,3,VS1,4,61.0,54.0,644.0,4.42,4.44,2.7,region4
0.61,Very Good,3,F,3,SI2,7,62.9,56.6,1868.0,5.38,5.45,3.4,region1
0.44,Ideal,1,D,1,VS1,4,61.1,56.0,1359.0,4.95,4.91,3.01,region3
1.08,Ideal,1,G,4,VS1,4,61.4,56.0,6796.0,6.59,6.63,4.06,region4
0.41,Ideal,1,F,3,VVS1,2,62.0,55.0,1559.0,4.78,4.74,2.95,region2
0.9,Good,4,G,4,VS2,5,60.4,61.0,4774.0,6.23,6.32,3.79,region3
0.78,Ideal,1,E,2,SI1,6,62.7,55.0,2760.0,5.87,5.9,3.69,region4
2.04,Premium,2,E,2,SI2,7,58.3,58.0,18248.0,8.35,8.31,4.86,region3
0.61,Very Good,3,H,5,VVS2,3,62.8,58.0,1689.0,5.4,5.42,3.4,region4
1.19,Very Good,3,G,4,SI1,6,62.8,57.0,5514.0,6.71,6.77,4.23,region4
0.3,Ideal,1,H,5,SI1,6,62.2,57.0,472.0,4.26,4.29,2.66,region3
1.31,Very Good,3,J,7,VS1,4,63.7,55.0,6406.0,6.94,7.01,4.44,region3
0.31,Very Good,3,G,4,VVS1,2,59.9,62.0,857.0,4.35,4.37,2.61,region3
0.5,Very Good,3,F,3,SI2,7,63.1,60.0,918.0,5.0,5.04,3.17,region4
0.49,Ideal,1,H,5,SI1,6,59.9,56.0,1267.0,5.15,5.18,3.1,region2
1.39,Ideal,1,G,4,IF,1,60.6,55.0,14884.0,7.21,7.27,4.39,region2
0.3,Ideal,1,F,3,VVS1,2,61.8,54.0,771.0,4.34,4.36,2.69,region4
0.52,Premium,2,D,1,SI1,6,62.0,60.0,1348.0,5.18,5.11,3.19,region3
0.53,Very Good,3,E,2,SI1,6,61.6,58.0,1465.0,5.19,5.23,3.21,region3
0.52,Ideal,1,E,2,SI2,7,61.8,57.0,1203.0,5.14,5.18,3.19,region3
0.29,Very Good,3,D,1,SI1,6,59.8,55.0,663.0,4.3,4.35,2.58,region4
0.7,Fair,5,F,3,SI1,6,65.9,59.0,1950.0,5.53,5.49,3.63,region4
1.01,Very Good,3,G,4,VS2,5,62.9,54.0,7789.0,6.35,6.4,4.0,region2
0.32,Ideal,1,G,4,VS1,4,61.2,56.0,952.0,4.44,4.42,2.71,region2
1.01,Premium,2,F,3,SI1,6,62.8,59.0,5096.0,6.4,6.36,4.01,region1
0.7,Ideal,1,F,3,VS2,5,61.8,57.0,3463.0,5.67,5.75,3.53,region2
0.34,Ideal,1,F,3,VS1,4,61.9,55.0,988.0,4.49,4.52,2.79,region1
0.79,Very Good,3,H,5,VS1,4,63.7,56.0,2506.0,5.85,5.92,3.75,region4
1.56,Ideal,1,I,6,VS1,4,61.2,59.0,13519.0,7.43,7.5,4.57,region1
1.21,Premium,2,I,6,SI2,7,59.9,61.0,3903.0,6.89,6.85,4.11,region4
0.29,Very Good,3,D,1,VS1,4,62.9,55.0,529.0,4.21,4.25,2.66,region3
0.29,Very Good,3,G,4,VVS1,2,61.5,57.0,546.0,4.24,4.27,2.62,region4
1.2,Good,4,J,7,VS2,5,63.7,58.0,5230.0,6.68,6.61,4.23,region2
0.7,Good,4,I,6,VS1,4,61.1,61.0,2199.0,5.65,5.7,3.47,region4
0.91,Very Good,3,D,1,SI2,7,61.5,56.0,3711.0,6.22,6.27,3.84,region4
0.61,Ideal,1,E,2,VS2,5,62.2,54.0,2050.0,5.51,5.49,3.42,region4
0.75,Ideal,1,G,4,VVS2,3,62.2,56.0,3491.0,5.78,5.82,3.61,region4
1.0,Ideal,1,H,5,SI2,7,61.2,57.0,3834.0,6.42,6.45,3.94,region4
0.3,Premium,2,H,5,SI2,7,60.2,62.0,533.0,4.37,4.34,2.62,region1
1.52,Ideal,1,I,6,IF,1,62.2,57.0,11139.0,7.33,7.27,4.54,region3
0.38,Ideal,1,H,5,VVS2,3,62.1,54.0,1033.0,4.62,4.66,2.88,region2
0.3,Ideal,1,E,2,VVS1,2,62.1,57.0,991.0,4.27,4.29,2.66,region2
1.1,Premium,2,E,2,SI2,7,60.0,60.0,4411.0,6.7,6.73,4.03,region3
0.74,Very Good,3,D,1,SI2,7,62.2,59.0,2442.0,5.75,5.79,3.59,region4
1.09,Premium,2,G,4,VS2,5,61.7,58.0,8455.0,6.6,6.53,4.05,region1
2.18,Premium,2,J,7,SI1,6,62.9,59.0,18119.0,8.25,8.21,5.18,region1
2.07,Ideal,1,I,6,SI2,7,62.0,55.0,14703.0,8.22,8.12,5.07,region4
0.55,Ideal,1,E,2,VS1,4,62.2,55.0,2183.0,5.26,5.22,3.26,region3
1.51,Premium,2,H,5,SI2,7,62.4,58.0,8807.0,7.36,7.31,4.58,region3
0.71,Premium,2,E,2,VS2,5,62.2,59.0,4031.0,5.79,5.76,3.59,region1
1.5,Very Good,3,F,3,SI1,6,63.0,55.0,11928.0,7.27,7.31,4.59,region2
0.76,Good,4,G,4,IF,1,64.6,61.0,4295.0,5.72,5.8,3.72,region1
0.28,Very Good,3,E,2,VVS2,3,61.0,57.0,813.0,4.22,4.25,2.58,region2
1.33,Very Good,3,G,4,VS2,5,61.7,59.0,9401.0,7.04,7.09,4.36,region3
0.33,Premium,2,E,2,SI1,6,60.9,58.0,966.0,4.5,4.46,2.73,region1
1.04,Good,4,D,1,SI1,6,63.7,58.0,5885.0,6.39,6.43,4.08,region3
1.03,Ideal,1,G,4,SI2,7,60.4,56.0,4246.0,6.56,6.53,3.95,region2
0.32,Good,4,D,1,SI2,7,63.7,56.0,429.0,4.33,4.34,2.76,region4
0.75,Very Good,3,E,2,VVS2,3,62.8,57.0,3604.0,5.74,5.78,3.62,region4
0.57,Premium,2,H,5,VVS1,2,61.6,58.0,1955.0,5.39,5.35,3.31,region4
0.57,Ideal,1,E,2,VS2,5,61.6,56.0,2092.0,5.38,5.34,3.3,region2
0.36,Ideal,1,F,3,SI1,6,61.5,56.0,630.0,4.59,4.62,2.83,region3
0.41,Premium,2,E,2,VVS1,2,62.9,59.0,1860.0,4.76,4.72,2.98,region1
1.74,Ideal,1,H,5,VS2,5,61.5,55.0,15825.0,7.79,7.73,4.77,region2
0.31,Premium,2,F,3,VS2,5,61.2,58.0,1043.0,4.37,4.35,2.67,region1
1.03,Premium,2,E,2,SI2,7,58.8,62.0,4680.0,6.58,6.51,3.85,region2
0.9,Ideal,1,G,4,VVS1,2,62.8,56.0,6277.0,6.12,6.18,3.86,region3
0.75,Ideal,1,E,2,VS1,4,62.0,55.0,3635.0,5.83,5.88,3.66,region3
0.7,Good,4,H,5,SI2,7,62.8,57.0,1611.0,5.58,5.66,3.53,region4
0.72,Ideal,1,F,3,SI1,6,61.5,58.0,3435.0,5.72,5.76,3.53,region1
0.78,Ideal,1,F,3,VS2,5,61.3,57.0,2933.0,5.91,5.93,3.63,region4
1.5,Premium,2,E,2,SI2,7,61.5,59.0,10483.0,7.3,7.23,4.47,region1
0.23,Good,4,E,2,VS2,5,61.8,63.0,375.0,3.88,3.89,2.4,region3
0.4,Very Good,3,D,1,VS2,5,59.1,57.0,1277.0,4.81,4.87,2.86,region1
0.72,Very Good,3,G,4,SI1,6,63.3,53.0,2434.0,5.73,5.68,3.61,region3
0.27,Ideal,1,F,3,IF,1,61.8,55.0,684.0,4.14,4.21,2.57,region4
1.0,Very Good,3,E,2,SI2,7,62.4,57.0,6006.0,6.33,6.4,3.97,region1
0.38,Ideal,1,D,1,VS2,5,61.8,56.0,1064.0,4.65,4.67,2.88,region3
0.59,Ideal,1,D,1,SI1,6,61.2,56.0,1779.0,5.38,5.43,3.31,region3
0.32,Ideal,1,J,7,VS1,4,61.3,57.0,379.0,4.41,4.43,2.71,region4
0.7,Good,4,E,2,SI1,6,62.7,61.0,2911.0,5.59,5.67,3.53,region1
0.57,Premium,2,E,2,VVS2,3,60.0,61.0,2632.0,5.44,5.36,3.24,region3
0.58,Good,4,E,2,SI1,6,59.3,64.0,1673.0,5.48,5.42,3.23,region1
